Satz#;NAME;VORNAME;GEBDAT;;;GEBZEIT;;AMPM;ZEITZONE;GEBORT;LO1;LO2;LA1;LA2;SPORTART;MARS;BATCH
205;Klueh;Duane;6;1;1926;4;0;A;6;ND;100;27;48;50;BASK;34;3
206;Knostman;Dick;9;8;1931;9;30;A;6;KS;96;18;39;12;BASK;36;2
207;Koffenberger;Ed;4;7;1926;10;7;P;5;DE;75;33;39;45;BASK;32;3
208;Kojis;Donald;15;7;1939;8;57;A;6;WI;87;55;43;2;BASK;23;1
209;Kotz;John;27;3;1919;7;30;P;6;WI;89;25;45;38;BASK;19;2
210;Kramer;John A;1;8;1921;1;45;A;8;NV;115;9;36;10;TENN;32;1
211;Kramer;Gerald;23;1;1936;5;30;P;7;MT;106;55;47;19;FOOT;15;1
212;Kramer;Ronald;24;6;1935;11;20;P;6;KS;94;50;37;31;FOOT;18;2
213;Kuss;Roger;24;4;1931;3;20;A;6;WI;92;37;44;52;BASK;21;2
214;Laird;Ron;31;5;1938;5;51;A;6;KY;85;46;38;15;TRAC;1;2
215;Lamar;Dwight;7;4;1951;4;5;A;5;OH;83;0;39;58;BASK;32;2
216;Lanier;Willie W;21;8;1945;12;40;A;5;VA;78;44;36;50;FOOT;35;1
217;Larsen;Gary/L;13;3;1940;2;43;P;6;ND;96;48;46;52;FOOT;8;3
218;Layton;Dennis;24;12;1948;12;45;A;5;NJ;74;10;40;44;BASK;27;2
219;Lebaron;Edward W;7;1;1930;2;20;P;8;CA;122;32;37;58;FOOT;15;1
220;Lebeau;C. Richard;9;9;1937;8;15;A;5;OH;83;27;39;53;FOOT;30;1
221;Lee;Russel;27;1;1950;10;55;A;5;MA;71;3;42;22;BASK;20;3
222;Lee;Sammy;1;8;1920;7;5;A;8;CA;119;47;36;44;SWIM;29;1
223;Lemon;Meadow George;25;4;1933;6;0;P;5;SC;81;14;34;0;BASK;6;1
224;Lewis;Sherman;29;6;1942;11;15;A;6;KY;85;46;38;15;FOOT;5;2
225;Liquori;Martin;11;9;1949;5;16;P;5;NJ;74;13;40;49;TRAC;19;2
226;Lolich;Michael Stephen;12;9;1940;7;4;P;8;OR;122;37;45;32;BASE;20;1
227;Love;Stan;22;8;1949;7;36;P;8;CA;118;21;33;58;BASK;24;3
228;Lucas;Jerry Ray;30;3;1940;3;0;A;5;OH;84;24;39;31;BASK;26;1
229;Lucas;William;23;11;1909;6;9;P;6;OH;84;38;39;45;BASK;7;2
230;Luisetti;Angelo;16;6;1916;8;30;A;8;CA;122;25;37;46;BASK;33;2
231;Lynch;James;28;8;1945;11;2;A;6;OH;84;6;40;44;FOOT;13;2
232;Mack;Thomas L;1;11;1943;8;45;A;5;OH;81;42;41;30;FOOT;15;1
233;Madden;John;10;4;1936;5;25;A;6;MN;92;58;43;40;FOOT;35;3
234;Maham;Larry;21;11;1943;6;34;P;8;OR;123;2;44;56;RODE;1;1
235;Mandic;John;3;10;1919;2;0;A;8;CA;118;15;34;3;BASK;34;3
236;Mandich;Jim;30;7;1948;8;5;P;5;OH;81;42;41;30;FOOT;14;2
237;Mann;Ralph;16;8;1949;9;5;A;8;CA;118;11;33;46;TRAC;9;2
238;Mann;Richard Scott;13;6;1934;4;50;P;7;UT;111;53;40;45;AUTO;16;1
239;Maris;Roger;10;9;1934;1;0;P;6;MN;92;56;47;25;BASE;14;1
240;Marshall;James;30;12;1937;6;50;A;6;KY;84;46;37;39;FOOT;32;2
241;Matuszak;John;25;10;1950;7;58;P;6;WI;87;55;42;52;FOOT;19;2
242;Mays;Willie Howard;6;5;1931;10;30;P;6;AL;86;48;33;31;BASE;15;1
243;Mc Adoo;Robert;25;9;1951;7;38;P;5;NC;79;48;36;4;BASK;24;3
244;McCabe;Frank;30;6;1927;4;35;A;6;MN;93;31;47;14;BASK;31;3
245;McCaffrey;John;24;12;1938;5;32;P;7;AZ;110;58;32;13;BASK;23;3
246;McCovey;Willy;10;1;1938;12;15;P;6;AL;88;3;30;41;BASE;4;1
247;McDaniels;Jim;2;4;1948;5;0;A;6;KY;86;11;36;45;BASK;21;3
248;McKinney;Horace;1;1;1919;8;0;A;5;NC;76;35;35;18;BASK;35;3
249;McNeil;Clifton;25;5;1939;9;30;A;6;AL;88;3;30;41;FOOT;19;2
250;McPhee;Frank;19;3;1931;7;30;A;5;OH;80;39;41;6;FOOT;25;2
251;Mencel;Charles;21;4;1933;4;0;P;6;WI;90;24;45;41;BASK;4;3
252;Merz;Curtis;17;4;1938;5;50;P;5;NJ;74;10;40;44;FOOT;15;2
253;Miller;Creighton;26;9;1922;11;0;P;5;OH;81;42;41;30;FOOT;19;2
254;Miller;Freddie;3;4;1911;3;0;A;6;OH;84;31;39;6;BOXI;36;2
255;Mitchell;Lydell;30;5;1949;2;59;A;5;NJ;75;28;39;34;FOOT;33;1
256;Morin;Milt;15;10;1942;8;30;P;5;MA;71;45;42;32;FOOT;22;1
257;Motta;Dick;3;9;1931;6;7;P;7;UT;111;54;40;36;BASK;15;3
258;Moyer;Denny;8;8;1939;10;51;A;8;OR;122;37;45;32;BOXI;27;2
259;Murro;Mark;4;6;1949;5;10;A;5;NJ;74;10;40;44;TRAC;1;2
260;Nash;Charles;24;7;1942;9;49;A;5;NJ;74;4;40;44;BASK;3;3
261;Nelson;Albert;27;10;1943;6;20;A;6;OH;84;31;39;6;FOOT;13;2
262;Nicklaus;Jack;21;1;1940;3;10;A;5;OH;83;0;39;58;GOLF;24;1
263;Noll;Charles;5;1;1932;2;42;A;5;OH;81;42;41;30;FOOT;30;2
264;Norlander;John;5;3;1921;10;0;P;6;MN;92;32;47;31;BASK;21;3
265;Nova;Lou;16;3;1915;6;0;A;8;CA;118;15;34;3;BOXI;2;2
266;Olsen;Merlin Jay;15;9;1940;1;30;A;7;UT;111;50;41;44;FOOT;30;1
267;Orr;James;4;10;1935;2;0;A;5;SC;82;57;34;41;FOOT;24;2
268;Otis;James;29;4;1948;11;5;A;5;OH;84;34;40;33;FOOT;33;2
269;Otto;James Edwin;5;1;1938;8;26;P;6;WI;89;38;44;58;FOOT;17;1
270;Owen;Nancy;2;5;1943;5;18;P;5;OH;81;42;41;30;VOLL;21;1
271;O'Brien;Jonny;11;12;1930;3;43;P;5;NJ;74;17;40;29;BASK;27;3
272;Page;Alan Cedric;7;8;1945;8;23;P;5;OH;81;23;40;48;FOOT;26;1
273;Palazzi;Togo;8;8;1932;6;23;A;5;NJ;74;16;40;42;BASK;5;3
274;Parr;Jack;13;3;1936;10;49;A;6;KY;85;46;38;15;BASK;6;3
275;Patterson;Floyd;4;1;1935;2;30;P;5;NC;81;27;35;22;BOXI;22;1
276;Patton;Melvin;16;11;1924;1;7;P;8;CA;118;15;34;3;TRAC;36;2
277;Pellington;William;25;9;1927;11;40;P;5;NJ;74;9;41;4;FOOT;27;2
278;Peoples;Woodrow;16;8;1943;3;21;A;6;AL;86;48;33;31;FOOT;5;1
279;Peters;Richard/L;10;4;1920;7;50;A;6;KS;95;28;39;21;FOOT;20;2
280;Petty;Richard/L;2;7;1937;8;45;A;5;NC;79;48;35;49;HORS;28;1
281;Phillips;James;5;2;1936;3;45;A;6;AL;85;58;32;56;FOOT;30;1
282;Plum;Milton;20;1;1935;4;30;A;5;NJ;75;7;39;52;FOOT;8;2
283;Pollard;James;9;7;1922;10;50;P;8;CA;122;16;37;48;BASK;12;1
284;Prefontaine;Steve;25;1;1951;8;5;A;8;OR;124;13;43;22;TRAC;35;2
285;Ramsey;Frank;13;7;1931;6;10;A;6;KY;87;42;37;44;BASK;31;3
286;Ratterman;George;12;11;1926;10;15;P;6;OH;84;31;39;6;FOOT;9;2
287;Redman;Rick;7;3;1943;2;46;P;8;OR;122;37;45;32;FOOT;18;2
288;Regner;Thomas;19;4;1944;12;19;P;6;WI;87;49;42;35;FOOT;3;2
289;Reinhard;Robert;17;10;1920;8;0;A;8;CA;118;15;34;3;FOOT;32;2
290;Retzlaff;Palmer;21;8;1931;2;0;A;6;ND;98;32;46;0;FOOT;25;3
291;Richey;Joe;30;3;1931;11;0;P;7;AZ;109;33;31;21;BASK;13;3
292;Rigby;Cathy;12;12;1952;6;45;P;8;CA;118;11;33;46;GYMN;15;1
293;Rinka;John;4;10;1948;9;8;A;6;WI;87;54;43;5;BASK;36;3
294;Robinson;Richard D;3;5;1941;10;49;P;5;NJ;74;47;40;0;TRAC;31;1
295;Rocha;Ephraim;18;9;1923;7;0;A1;0,5;HI;155;5;19;43;BASK;4;2
296;Rollins;Phil;19;1;1934;12;30;A;6;KY;89;5;36;58;BASK;26;3
297;Romig;Joseph;11;4;1941;10;52;P;7;UT;111;53;40;45;FOOT;31;2
298;Romney;Elwood;28;5;1911;4;50;A;7;Ut;111;39;40;14;BASK;5;3
299;Rose;Peter Ed;14;4;1942;5;45;A;5;OH;84;31;39;6;BASE;28;1
300;Ryun;James Ronald;29;4;1947;5;0;P;6;KS;97;20;37;41;TRAC;18;1
301;Saimes;George;1;9;1941;3;30;A;5;OH;81;23;40;48;FOOT;10;1
302;Sale;Forrest;25;6;1911;12;20;P;6;KY;84;54;38;2;BASK;18;3
303;Sample;John;15;6;1936;9;15;A;5;VA;76;1;37;16;FOOT;6;2
304;Santee;Wes (?);25;3;1932;1;0;P;6;KS;99;46;37;11;TRAC;11;2
305;Sayers;Gale Eugene;20;5;1943;1;5;A;6;KS;97;20;37;41;FOOT;33;1
306;Schmidt;Kathy;29;12;1953;10;8;A;8;CA;118;11;33;46;TRAC;14;2
307;Schollander;Donald;30;4;1946;12;34;P;5;NC;80;51;35;13;SWIM;2;1
308;Schreiner;David;5;3;1921;4;0;A;6;WI;90;43;42;51;FOOT;30;3
309;Schul;Bob;28;9;1937;5;30;A;5;OH;84;20;39;58;TRAC;27;2
310;Schultz;Howie;3;7;1922;11;30;A;6;MN;93;6;44;57;BASK;29;3
311;Scott;Jacob;20;7;1945;4;8;A;5;SC;82;9;34;12;FOOT;3;1
312;Sears;Victor;4;3;1918;9;26;P;8;OR;120;45;44;44;FOOT;4;2
313;Sefton;William;21;1;1915;2;20;A;8;CA;118;15;34;3;TRAC;31;2
314;Seidel;Glenn;27;7;1914;5;0;A;6;MN;93;16;44;59;FOOT;30;3
315;Seltz;Rolland;25;1;1924;7;55;P;6;MN;95;53;47;38;BASK;27;3
316;Selvy;Frank;9;11;1932;6;10;A;6;KY;84;5;36;57;BASK;9;3
317;Shaver;Gaius;14;8;1910;9;20;A;8;CA;117;52;34;5;FOOT;5;3
318;Shavlik;Ron;4;12;1933;5;45;A;7;CO;104;59;39;44;BASK;32;3
319;Shelton;Ernie;28;9;1932;5;45;P;6;KS;95;27;37;41;TRAC;23;2
320;Silliman;Mike;5;5;1944;8;45;A;6;KY;85;46;38;15;BASK;34;3
321;Silvester;Jay;27;8;1937;7;30;A;7;UT;112;10;41;43;TRAC;29;2
322;Sime;Dave;25;7;1936;2;35;P;5;NJ;74;10;40;55;TRAC;12;2
323;Sington;Fredyerick;24;2;1910;1;30;P;6;AL;86;48;33;31;FOOT;5;3
324;Skinner;Roy;17;4;1930;1;30;A;6;KY;88;37;37;5;BASK;33;3
325;Skoog;Myer;2;11;1926;1;20;P;6;MN;92;7;46;47;BASK;30;3
326;Smith;Adrian;5;10;1936;5;30;A;6;KY;88;32;36;40;TRAC;4;1
327;Smith;Bruce/P;8;2;1920;12;30;A;6;MN;93;16;44;17;FOOT;2;3
328;Smith;Greg;28;1;1947;4;30;A;6;KY;87;53;37;7;BASK;34;3
329;Smith;John Walton;5;8;1950;11;3;A;8;CA;118;15;34;3;TRAC;35;2
330;Smith;Steve;24;11;1951;4;42;A;8;CA;118;11;33;46;TRAC;5;2
331;Smith;Wallace;2;4;1929;11;0;P;5;OH;84;31;39;6;BOXI;15;2
332;Snead;Norman;31;7;1939;10;10;A;5;VA;78;50;36;45;FOOT;26;2
333;Speight;Bob;7;10;1930;6;30;A;5;NC;78;38;35;46;BASK;9;3
334;Spessard;Robert;11;12;1915;12;10;A;5;VA;79;56;37;16;BASK;3;3
335;Spitz;Marc Andrew;10;2;1950;5;45;P;8;CA;121;0;37;39;SWIM;31;1
336;Starr;Bryan Bartlett;9;1;1934;3;0;P;6;AL;86;18;32;23;FOOT;12;1
337;Staubach;Roger;5;2;1942;4;25;A;5;OH;84;31;39;6;FOOT;24;1
338;Steers;Lester;16;6;1917;10;30;A;8;CA;124;9;40;47;TRAC;9;2
339;Steinkraus;William C;12;10;1925;2;30;P;5;OH;81;42;41;30;HORS;14;1
340;Steinmark;Freddie;27;1;1949;12;31;P;7;CO;105;5;39;46;FOOT;9;3
341;Stephenson;Donald;10;7;1935;2;45;A;6;AL;86;57;33;24;FOOT;23;2
342;Steuber;Robert;25;10;1921;2;0;P;5;NJ;75;9;39;47;FOOT;16;3
343;Stillwagon;Jim;11;2;1949;2;25;A;5;OH;82;29;40;23;FOOT;29;2
344;Stones;Dwight;6;12;1953;12;1;P;8;CA;118;15;34;3;TRAC;16;2
345;Svare;Harland;25;11;1930;1;0;P;6;MN;95;48;44;47;FOOT;19;3
346;Swartz;Dan;23;12;1931;3;0;A;6;KY;83;46;38;9;BASK;31;3
347;Sweeney;Walter F;18;4;1941;9;20;A;5;MA;70;48;42;14;FOOT;14;1
348;Swensen;Ken;18;4;1948;8;0;P;6;KS;97;7;39;23;FOOT;9;2
349;Syzmanski;Richard;7;11;1932;6;17;A;5;OH;83;32;41;39;FOOT;8;2
350;Talbloom;Edward;5;5;1921;2;0;P;6;OH;84;20;40;51;FOOT;11;2
351;Tarkenton;Francis A;3;2;1940;12;42;A;5;VA;77;27;37;32;FOOT;21;1
352;Tarr;Jerry;27;8;1939;6;10;A;6;KS;95;40;39;3;TRAC;23;2
353;Tatum;Jack;18;11;1948;7;0;P;5;NC;81;23;35;23;FOOT;19;2
354;Taylor;Bruce L;28;5;1948;4;33;A;5;NJ;74;16;40;31;TRAC;33;2
355;Taylor;Brian;9;6;1951;12;1;P;5;NJ;74;16;40;31;BASK;9;1
356;Thacker;Tom;2;11;1939;11;42;P;5;KY;84;31;39;5;BASK;17;3
357;Theismann;Joseph;19;9;1949;7;15;A;5;NJ;74;23;40;27;FOOT;6;2
358;Thomas;John;3;3;1941;9;55;P;5;MA;71;3;42;22;TRAC;30;3
359;Thompson;John;10;2;1906;7;30;P;7;UT;113;35;37;6;BASK;15;3
360;Thurston;Frederick C;29;12;1933;3;0;P;6;WI;91;26;44;48;FOOT;12;1
361;Tibbs;Tommy;23;7;1934;8;0;A;5;OH;82;36;39;43;BOXI;6;2
362;Timberlake;Robert;18;10;1943;4;58;A;6;OH;84;24;39;31;FOOT;10;2
363;Tonnemaker;F/Clayton;8;6;1928;9;0;P;6;MN;93;25;45;50;FOOT;29;3
364;Tripucka;Frank;8;12;1927;7;0;A;5;NJ;74;12;40;48;FOOT;2;2
365;Tyra;Charles;6;8;1935;4;10;A;6;KY;85;46;38;15;BASK;27;3
366;Tyrer;James E;25;2;1939;8;23;P;5;OH;82;24;40;3;FOOT;29;1
367;Unseld;Westley;14;3;1946;4;26;A;6;KY;85;46;38;15;BASK;21;1
368;VanBredaKolff;Bill;28;10;1922;11;28;P;5;NJ;74;13;40;48;BASK;20;3
369;Vanderkelen;Ronald;6;11;1939;6;40;P;6;WI;88;0;44;31;FOOT;10;2
370;Verga;Robert;7;9;1945;3;25;A;5;NJ;74;2;40;12;BASK;4;1
371;Villipiano;Philip;26;2;1949;5;40;A;5;NJ;74;0;40;18;FOOT;35;2
372;Vogel;Robert L;23;9;1941;1;46;P;5;OH;83;0;39;58;FOOT;27;1
373;Volk;Richard R;15;3;1945;1;24;A;5;OH;83;32;41;39;FOOT;30;1
374;Von Every;Harold;10;2;1918;1;0;A;6;MN;93;27;44;56;FOOT;6;3
375;Vukovich;William;29;3;1944;11;30;A;8;CA;119;47;36;44;AUTO;1;1
376;Walton;William Theodore;5;11;1952;9;20;P;8;CA;117;2;32;46;BASK;19;1
377;Warburton;Irvine;8;10;1911;10;30;A;8;CA;117;9;32;43;FOOT;19;2
378;Ward;Roger Morris;10;1;1921;3;15;A;6;KS;98;6;39;28;AUTO;27;1
379;Warfield;Paul D;28;11;1942;11;43;A;5;OH;80;48;41;14;FOOT;9;1
380;Warmerdam;Cornelius;22;6;1915;8;0;P;8;CA;118;11;33;46;TRAC;26;1
381;Watts;Stan;30;8;1911;2;0;P;7;UT;111;53;40;40;BASK;21;3
382;Webster;Alex;19;4;1931;3;45;P;5;NJ;74;9;40;46;FOOT;6;2
383;Webster;George;25;11;1945;3;10;A;5;SC;82;39;34;31;FOOT;8;1
384;Werkman;Nick;17;7;1942;4;0;A;5;NJ;74;46;40;13;BASK;29;3
385;Werner;Wallace Jerold;26;2;1936;10;0;P;7;CO;106;50;40;29;TRAC;21;1
386;Westphal;Paul;30;10;1950;5;5;A;8;CA;118;23;33;50;BASK;30;3
387;White;Byron Raymond;9;6;1917;6;0;A;7;CO;105;5;40;35;TRAC;4;1
388;White;L.Robert;22;8;1938;7;59;A;5;OH;83;0;38;44;FOOT;4;2
389;White;Sherman;6;10;1949;8;6;A;5;NH;71;28;43;0;FOOT;9;3
390;Wicks;Sidney;19;9;1949;8;35;A;8;CA;118;15;34;3;FOOT;9;3
391;Wilcox;David;29;9;1942;3;0;P;7;OR;116;58;44;1;FOOT;11;1
392;Wilhelm;James Hoyt;26;7;1922;2;30;A;5;NC;80;50;35;25;BASE;20;1
393;Willard;Kenneth A;14;7;1943;5;10;P;5;VA;77;27;37;32;FOOT;23;1
394;Williams;Billy Leo;15;6;1938;12;0;A;6;AL;88;8;30;46;TRAC;26;1
395;Williams;Randy;23;8;1953;3;29;A;8;CA;119;47;36;44;TRAC;33;2
396;Williams;Theodore Samuel;30;8;1918;12;20;P;8;CA;117;9;32;43;BASE;2;1
397;Willingham;Larry;22;12;1948;2;12;A;6;AL;86;50;34;10;FOOT;29;2
398;Willis;Frederick;9;12;1947;8;50;P;5;MA;71;21;42;17;FOOT;34;3
399;Wills;Helen;6;10;1905;2;25;A;8;CA;122;16;37;52;TENN;24;1
400;Wintermute;Urgel;9;7;1917;3;10;P;8;OR;122;37;45;32;BASK;15;3
401;Wottle;Dave;7;8;1950;2;39;P;5;OH;81;23;40;48;TRAC;4;2
402;Wright;Ernie H;6;11;1939;11;20;A;5;OH;83;32;41;39;FOOT;33;1
403;Wynn;E. Pearly;6;1;1920;10;0;P;6;AL;85;42;31;6;BASK;33;1
404;Yarborough;Cale;27;3;1939;7;0;A;5;SC;79;56;34;8;MOTO;11;1
405;Young;Charles;5;2;1951;3;15;A;8;CA;119;47;36;44;TRAC;29;1
406;Yowarsky;Walter;10;5;1928;6;40;P;5;OH;81;42;41;30;FOOT;24;2
407;Zabel;Steven G;15;1;1948;7;4;A;6;MN;92;28;44;1;FOOT;15;3
408;Zook;John E;24;9;1947;7;46;A;7;KS;100;52;37;58;FOOT;10;1
